species,acoustic_index,best_lag,best_lag_r,best_lag_p,station
Oyster toadfish boat whistle,VARt,5,0.14502198580304768,6.331030991368434e-22,37M
Oyster toadfish boat whistle,SKEWt,5,0.10771204393181825,9.966199801187082e-13,37M
Oyster toadfish boat whistle,KURTt,6,-0.18845684418405978,3.901032182377601e-36,37M
Oyster toadfish boat whistle,LEQt,4,0.19309678516460602,6.69712144500903e-38,37M
Bottlenose dolphin echolocation,File,2,-0.09613667407160367,1.9779995352213302e-10,37M
Bottlenose dolphin echolocation,Black drum,3,0.026347149521375977,0.08187440992560438,37M
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0,0.22252382801017284,4.15441354727433e-50,37M
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0,0.12541681927502024,9.056915097098524e-17,37M
Bottlenose dolphin echolocation,ZCR,3,0.1864803999554147,1.9913246869900377e-35,37M
Bottlenose dolphin echolocation,MEANt,1,0.020190496451024848,0.18235147652389067,37M
Bottlenose dolphin echolocation,VARt,4,-0.09626965223921646,1.8851064377012657e-10,37M
Bottlenose dolphin echolocation,SKEWt,3,-0.10257801890632975,1.1152296580291083e-11,37M
Bottlenose dolphin echolocation,KURTt,2,0.19238561182517092,1.203638033306524e-37,37M
Bottlenose dolphin echolocation,LEQt,3,-0.15831746396376972,7.020362898586801e-26,37M
Red drum,File,0,0.030081712829185363,0.046886557787542006,37M
Red drum,Black drum,6,-0.0034516855483803037,0.8197822907422134,37M
Red drum,Bottlenose dolphin burst pulses,6,-0.030161014812923763,0.04645954161590916,37M
Red drum,Bottlenose dolphin whistles,6,-0.029531651594802966,0.05122070459048771,37M
Red drum,ZCR,6,0.07078296753741946,2.8995232713122153e-06,37M
Red drum,MEANt,2,0.01742679542289821,0.2497940209222797,37M
Red drum,VARt,3,-0.02567978510665977,0.08991879402504835,37M
Red drum,SKEWt,2,0.0633762123829901,2.7993765698429227e-05,37M
Red drum,KURTt,1,-0.07487585472312877,7.350093386503679e-07,37M
Red drum,LEQt,1,0.06403023088951482,2.3058802842895143e-05,37M
Silver perch,File,6,0.07014447995658912,3.5605564568157934e-06,37M
Silver perch,Black drum,0,0.06007274349393868,7.146804191861046e-05,37M
Silver perch,Bottlenose dolphin burst pulses,6,-0.032016669572909266,0.03453548639212253,37M
Silver perch,Bottlenose dolphin whistles,6,-0.025547345392121584,0.0917001496296688,37M
Silver perch,ZCR,1,-0.2741935214435692,4.087367395235917e-76,37M
Silver perch,MEANt,4,0.016995098841429603,0.26182868613627475,37M
Silver perch,VARt,2,0.141314760250582,6.679753983453736e-21,37M
Silver perch,SKEWt,2,0.15418817324483897,1.2725200900718912e-24,37M
Silver perch,KURTt,2,-0.15027228927715283,1.868244473259265e-23,37M
