species,acoustic_index,temporal_pearson_r,temporal_pearson_p,temporal_spearman_r,temporal_spearman_p,circadian_r,circadian_p,best_lag,best_lag_r,best_lag_p,max_correlation
Oyster toadfish boat whistle,H_Havrda,-0.0004669446017573787,0.9753904417504551,-0.23357073593860544,3.44878815643505e-55,0.7832762742800532,0.0025829469833060876,,,,0.7832762742800532
Oyster toadfish boat whistle,H_Renyi,-0.19364613743804296,3.678448909375153e-38,-0.2606750415585109,9.205455612132292e-69,0.8693925583891573,0.00023940440980377503,,,,0.8693925583891573
Oyster toadfish boat whistle,H_Renyi,-0.19364613743804296,3.678448909375153e-38,-0.2606750415585109,9.205455612132292e-69,0.984469959011305,6.931690887909382e-09,,,,0.984469959011305
Oyster toadfish boat whistle,H_Renyi,-0.19364613743804296,3.678448909375153e-38,-0.2606750415585109,9.205455612132292e-69,0.7082311777563584,0.009947714971233632,,,,0.7082311777563584
Oyster toadfish boat whistle,H_pairedShannon,-0.11279258489026797,7.694861300989486e-14,-0.2564323618837752,1.5834792541259046e-66,0.8710898781810523,0.0002249156153379271,,,,0.8710898781810523
Oyster toadfish boat whistle,H_pairedShannon,-0.11279258489026797,7.694861300989486e-14,-0.2564323618837752,1.5834792541259046e-66,0.9411214749479986,5.04583735355849e-06,,,,0.9411214749479986
Oyster toadfish boat whistle,H_pairedShannon,-0.11279258489026797,7.694861300989486e-14,-0.2564323618837752,1.5834792541259046e-66,0.7115488239391506,0.009453324034655163,,,,0.7115488239391506
Oyster toadfish boat whistle,H_gamma,-0.16574343246476572,2.860780851940707e-28,-0.24304933078954835,9.560944412320012e-60,0.8976465455189617,7.43360710184393e-05,,,,0.8976465455189617
Oyster toadfish boat whistle,H_gamma,-0.16574343246476572,2.860780851940707e-28,-0.24304933078954835,9.560944412320012e-60,0.969691620942079,1.914250097397445e-07,,,,0.969691620942079
Oyster toadfish boat whistle,H_gamma,-0.16574343246476572,2.860780851940707e-28,-0.24304933078954835,9.560944412320012e-60,0.6946906359171772,0.012167345670122072,,,,0.6946906359171772
Oyster toadfish boat whistle,H_GiniSimpson,-0.049586188563188645,0.0010458379062201432,-0.2461633969901463,2.7486765003166476e-61,0.856206374866993,0.0003783763116208567,,,,0.856206374866993
Oyster toadfish boat whistle,H_GiniSimpson,-0.049586188563188645,0.0010458379062201432,-0.2461633969901463,2.7486765003166476e-61,0.9271445284369791,1.4291675872926388e-05,,,,0.9271445284369791
Oyster toadfish boat whistle,H_GiniSimpson,-0.049586188563188645,0.0010458379062201432,-0.2461633969901463,2.7486765003166476e-61,0.7403541565047005,0.005893418285238907,,,,0.7403541565047005
Oyster toadfish boat whistle,RAOQ,-0.12386005369441248,2.1325769595029287e-16,-0.21223800094887074,1.1634339820431158e-45,0.9046498678479632,5.279101819956217e-05,,,,0.9046498678479632
Oyster toadfish boat whistle,RAOQ,-0.12386005369441248,2.1325769595029287e-16,-0.21223800094887074,1.1634339820431158e-45,0.9196552692460966,2.3013152132156832e-05,,,,0.9196552692460966
Oyster toadfish boat whistle,RAOQ,-0.12386005369441248,2.1325769595029287e-16,-0.21223800094887074,1.1634339820431158e-45,0.696056682231254,0.011928179381627588,,,,0.696056682231254
Oyster toadfish boat whistle,AGI,0.3038841154733933,5.751993313915579e-94,0.32277185710444495,1.959763824552993e-106,0.216186169712845,0.49976860811113605,,,,0.32277185710444495
Oyster toadfish boat whistle,AGI,0.3038841154733933,5.751993313915579e-94,0.32277185710444495,1.959763824552993e-106,0.7655926276212133,0.0037021427429671885,,,,0.7655926276212133
Oyster toadfish boat whistle,AGI,0.3038841154733933,5.751993313915579e-94,0.32277185710444495,1.959763824552993e-106,0.4438346295531282,0.1483593694646025,,,,0.4438346295531282
Oyster toadfish boat whistle,nROI,0.17157472507457944,3.331793164404154e-30,0.17180204145556463,2.791773383557708e-30,0.08553871631892274,0.7915347437548279,,,,0.17180204145556463
Oyster toadfish boat whistle,nROI,0.17157472507457944,3.331793164404154e-30,0.17180204145556463,2.791773383557708e-30,-0.3068456600389793,0.3319905287256649,,,,0.3068456600389793
Oyster toadfish boat whistle,nROI,0.17157472507457944,3.331793164404154e-30,0.17180204145556463,2.791773383557708e-30,-0.11181738494715834,0.7293604970239269,,,,0.17180204145556463
Oyster toadfish boat whistle,aROI,0.09750600553197353,1.0675467906880497e-10,0.08868449026060843,4.3460378207048925e-09,0.25042475771580164,0.43242892763281354,,,,0.25042475771580164
Oyster toadfish boat whistle,aROI,0.09750600553197353,1.0675467906880497e-10,0.08868449026060843,4.3460378207048925e-09,-0.060969206184353114,0.8506997646885498,,,,0.09750600553197353
Oyster toadfish boat whistle,aROI,0.09750600553197353,1.0675467906880497e-10,0.08868449026060843,4.3460378207048925e-09,-0.017582087762934337,0.9567494100124687,,,,0.09750600553197353
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.05083231693641832,0.875334825914835,6.0,-0.018869844729879924,0.21275671344779834,0.05083231693641832
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.05083231693641832,0.875334825914835,2.0,-0.09613667407160367,1.9779995352213302e-10,0.09613667407160367
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.05083231693641832,0.875334825914835,4.0,-0.02883545693537017,0.056842633040010825,0.05083231693641832
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,-0.731285968369997,0.006880600137525187,6.0,-0.018869844729879924,0.21275671344779834,0.731285968369997
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,-0.731285968369997,0.006880600137525187,2.0,-0.09613667407160367,1.9779995352213302e-10,0.731285968369997
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,-0.731285968369997,0.006880600137525187,4.0,-0.02883545693537017,0.056842633040010825,0.731285968369997
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.516390985961193,0.08564327399886484,6.0,-0.018869844729879924,0.21275671344779834,0.516390985961193
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.516390985961193,0.08564327399886484,2.0,-0.09613667407160367,1.9779995352213302e-10,0.516390985961193
Bottlenose dolphin echolocation,File,-0.025757801357431893,0.08876378742870679,-0.03993120728614485,0.008313080195862594,0.516390985961193,0.08564327399886484,4.0,-0.02883545693537017,0.056842633040010825,0.516390985961193
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.33130408274656564,0.29281873840063577,6.0,-0.0050385601665842335,0.7393753536665479,0.33130408274656564
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.33130408274656564,0.29281873840063577,3.0,0.026347149521375977,0.08187440992560438,0.33130408274656564
Bottlenose dolphin echolocation,Black drum,-0.004617141324019928,0.7603432084586343,-0.005949258626997255,0.694291815562286,0.33130408274656564,0.29281873840063577,3.0,-0.004620463526518944,0.760255962413448,0.33130408274656564
