species,acoustic_index,circadian_r,circadian_p,station
Atlantic croaker,ACTspCount,0.9002436131013759,6.566671635024849e-05,14M
Atlantic croaker,ACTspMean,-0.7423805060728426,0.005688246143631687,14M
Atlantic croaker,EVNspFract,0.89553737838639,8.20167897204215e-05,14M
Atlantic croaker,EVNspMean,0.8537289191949158,0.000410318299639208,14M
Atlantic croaker,EVNspCount,0.8968055199261902,7.732786074023346e-05,14M
Atlantic croaker,TFSD,-0.11660533282086297,0.7181806038061658,14M
Atlantic croaker,H_Havrda,0.395187860886544,0.20356737035770583,14M
Atlantic croaker,H_Renyi,0.3623305503351496,0.2470911943840486,14M
Atlantic croaker,H_pairedShannon,0.34590834596855996,0.27073745829423024,14M
Atlantic croaker,H_gamma,0.28462413513429025,0.36990896792971817,14M
Atlantic croaker,H_GiniSimpson,0.3781777300446899,0.22546817336389444,14M
Atlantic croaker,RAOQ,0.2579031948082481,0.4183393792577905,14M
Atlantic croaker,AGI,0.7650016280460986,0.0037450009049009177,14M
Atlantic croaker,nROI,0.8832034553132864,0.0001402588063015565,14M
Atlantic croaker,aROI,0.8100783236943323,0.0014010858613993716,14M
Oyster toadfish boat whistle,File,0.5234607146304027,0.08071110048794732,14M
Oyster toadfish boat whistle,Black drum,-0.5626219027176801,0.05686325702953978,14M
Oyster toadfish boat whistle,Bottlenose dolphin burst pulses,0.2636084747450056,0.4077456158800158,14M
Oyster toadfish boat whistle,Bottlenose dolphin whistles,0.3739785533037565,0.23108327850557786,14M
Oyster toadfish boat whistle,ZCR,0.8245955167437063,0.0009662306343141116,14M
Oyster toadfish boat whistle,MEANt,-0.15502021897957025,0.6304673113493005,14M
Oyster toadfish boat whistle,VARt,-0.697710981762351,0.011643232978868386,14M
Oyster toadfish boat whistle,SKEWt,0.6755165345998362,0.01591211105999291,14M
Oyster toadfish boat whistle,KURTt,0.16361979137819788,0.6113729848176214,14M
Oyster toadfish boat whistle,LEQt,-0.878532370277008,0.00016925528438596545,14M
Oyster toadfish boat whistle,BGNt,-0.9113585179801388,3.7082580183726286e-05,14M
Oyster toadfish boat whistle,SNRt,0.8705625899123559,0.00022934132329741478,14M
Oyster toadfish boat whistle,MED,-0.883625699733782,0.00013784319192253195,14M
Oyster toadfish boat whistle,Ht,-0.7768187666197743,0.0029564857485577614,14M
Oyster toadfish boat whistle,ACTtFraction,0.6372633144354967,0.025820385407700607,14M
Oyster toadfish boat whistle,ACTtCount,0.637731863521257,0.02567722526588156,14M
Oyster toadfish boat whistle,ACTtMean,0.8812180096050852,0.00015206489673304176,14M
Oyster toadfish boat whistle,EVNtFraction,0.6265884641744811,0.029240867040112167,14M
Oyster toadfish boat whistle,EVNtMean,-0.28672786302405207,0.36622600846301107,14M
Oyster toadfish boat whistle,EVNtCount,0.8079745438192688,0.0014748410862475787,14M
Oyster toadfish boat whistle,MEANf,-0.9134232542249472,3.307783308870159e-05,14M
Oyster toadfish boat whistle,VARf,-0.8499979218558412,0.0004623322473171111,14M
Oyster toadfish boat whistle,SKEWf,-0.8588682718477039,0.0003462465746527197,14M
Oyster toadfish boat whistle,KURTf,-0.8527484536221867,0.0004235225098544436,14M
Oyster toadfish boat whistle,NBPEAKS,0.12261232969245064,0.7042258839121843,14M
Oyster toadfish boat whistle,LEQf,-0.9281194747908443,1.3383019708951218e-05,14M
Oyster toadfish boat whistle,ENRf,-0.9281194747948569,1.3383019705307846e-05,14M
Oyster toadfish boat whistle,BGNf,-0.9476858983838266,2.8255077031149068e-06,14M
Oyster toadfish boat whistle,SNRf,0.8495627424720207,0.0004687172069529546,14M
Oyster toadfish boat whistle,Hf,0.8716880517729789,0.00021997591198239186,14M
Oyster toadfish boat whistle,EAS,0.24176662840251179,0.4490243399106103,14M
Oyster toadfish boat whistle,ECU,0.31581306057407654,0.31731289739078683,14M
Oyster toadfish boat whistle,ECV,0.21260974331019,0.5070598755063918,14M
Oyster toadfish boat whistle,EPS,-0.52882461298589,0.07710066524092853,14M
Oyster toadfish boat whistle,EPS_KURT,-0.5111007690604021,0.0894648762085688,14M
Oyster toadfish boat whistle,EPS_SKEW,-0.5189018091292675,0.08386882839755258,14M
Oyster toadfish boat whistle,ACI,0.15491098923187907,0.6307112132937533,14M
Oyster toadfish boat whistle,NDSI,0.8619550235248324,0.0003116907924582383,14M
Oyster toadfish boat whistle,rBA,0.8619550235170956,0.00031169079254134114,14M
Oyster toadfish boat whistle,AnthroEnergy,-0.8361165762269029,0.0007022021624016237,14M
Oyster toadfish boat whistle,BioEnergy,-0.4326444581028285,0.1600941898827092,14M
Oyster toadfish boat whistle,BI,0.8490542544775745,0.00047626423115084316,14M
Oyster toadfish boat whistle,ROU,-0.862598830079383,0.00030483490493785846,14M
Oyster toadfish boat whistle,ADI,0.8564824109931732,0.0003749407979694711,14M
Oyster toadfish boat whistle,AEI,-0.88565576806188,0.00012667990748930921,14M
Oyster toadfish boat whistle,LFC,0.3584604025480117,0.25255046592764274,14M
Oyster toadfish boat whistle,MFC,0.0119456836247184,0.9706080118410045,14M
Oyster toadfish boat whistle,HFC,-0.12768312426490908,0.692510668806722,14M
Oyster toadfish boat whistle,ACTspFract,-0.08377898978132096,0.7957424938536091,14M
Oyster toadfish boat whistle,ACTspCount,-0.08202037589576466,0.7999525794974109,14M
Oyster toadfish boat whistle,ACTspMean,0.507072478828311,0.09245095294030403,14M
Oyster toadfish boat whistle,EVNspFract,-0.041433250810406524,0.898268391232754,14M
Oyster toadfish boat whistle,EVNspMean,-0.13147934106855916,0.6837803009068983,14M
Oyster toadfish boat whistle,EVNspCount,0.02566717843975279,0.9368901299303208,14M
Oyster toadfish boat whistle,TFSD,0.2692387032231593,0.39742462667145545,14M
Oyster toadfish boat whistle,H_Havrda,0.8408477005898775,0.0006116437271727559,14M
Oyster toadfish boat whistle,H_Renyi,0.8693925583891573,0.00023940440980377503,14M
Oyster toadfish boat whistle,H_pairedShannon,0.8710898781810523,0.0002249156153379271,14M
Oyster toadfish boat whistle,H_gamma,0.8976465455189617,7.43360710184393e-05,14M
Oyster toadfish boat whistle,H_GiniSimpson,0.856206374866993,0.0003783763116208567,14M
Oyster toadfish boat whistle,RAOQ,0.9046498678479632,5.279101819956217e-05,14M
