species,acoustic_index,pearson_r,pearson_p,spearman_r,spearman_p,station
Atlantic croaker,BioEnergy,0.10403173303140739,5.490318310228654e-12,0.1421617578156776,3.696369648757097e-21,14M
Atlantic croaker,BI,-0.009535761097919067,0.5286550213838729,0.007891412361017565,0.6020819050064077,14M
Atlantic croaker,ROU,-0.012501883688360537,0.4087723980415774,0.11078630738253159,2.0967733364905748e-13,14M
Atlantic croaker,ADI,0.11047043125758275,2.4537475768882586e-13,0.1802421850319884,3.2484685397586957e-33,14M
Atlantic croaker,AEI,-0.1420344112025993,4.010284124436675e-21,-0.17900312157247217,8.92716011512576e-33,14M
Atlantic croaker,LFC,0.1713952857675428,3.773133510552031e-30,0.1910895302448633,3.3992958339526753e-37,14M
Atlantic croaker,MFC,0.13237480583435948,1.5644365983328105e-18,0.16687239490309663,1.2060084138711098e-28,14M
Atlantic croaker,HFC,0.1520249094079567,5.3383958974103896e-24,0.17516821094491886,1.9469528356310067e-31,14M
Atlantic croaker,ACTspFract,0.1520961378972542,5.083794957597108e-24,0.18009538094751534,3.663211511207724e-33,14M
Atlantic croaker,ACTspCount,0.15216109903721609,4.86209831178983e-24,0.18024403164379257,3.243560319855781e-33,14M
Atlantic croaker,ACTspMean,-0.12146556810251494,7.928034349551941e-16,-0.12876934687656916,1.3007059246725618e-17,14M
Atlantic croaker,EVNspFract,0.12277006189158643,3.8728351962118614e-16,0.1426298689941693,2.737612786542761e-21,14M
Atlantic croaker,EVNspMean,-0.02971479078138622,0.04955941599180289,-0.033776020473937594,0.025596214062808893,14M
Atlantic croaker,EVNspCount,0.14451433774151148,8.090635850412109e-22,0.16919402310996395,2.0618147631133135e-29,14M
Atlantic croaker,TFSD,-0.215991305572694,2.8256770177212957e-47,-0.213505776131834,3.2894135435225677e-46,14M
Atlantic croaker,H_Havrda,0.044591528209741965,0.0032013251574387292,-0.005816765868071915,0.7007352075925212,14M
Atlantic croaker,H_Renyi,0.05793304383229736,0.00012764131060396942,-0.007822165148302423,0.6052724205485838,14M
Atlantic croaker,H_pairedShannon,0.06274059639770041,3.3323052613275674e-05,0.055350682067467176,0.0002522819666876043,14M
